order_id,customer_id,order_date,category,brand,quantity,unit_price,discount,shipping_fee,total_amount,payment_method,order_status,review_score,returned
6708575,829633,2021-06-03,,IKEA,1,654.02,5.0,2.84,624.16,Google Pay,Shipped,5.0,Y
7084182,567022,2022-10-06,,Apple,1,733.54,0.0,15.82,749.36,Apple Pay,Returned,2.0,No
4812908,379267,2024-04-24,,Samsung,1,969.99,10.0,24.6,897.59,Card,Shipped,5.0,No
3022092,856589,2021-12-17,,Samsung,3,662.2,5.0,9.41,1896.68,Bank Transfer,Delivered,2.0,Yes
9234877,940775,2022-08-08,,L'Oreal,4,211.16,20.0,1.55,677.26,Card,Delivered,1.0,Yes
9109514,339874,2026-03-01,,IKEA,4,988.27,10.0,6.76,3564.53,Card,Delivered,,
5522991,719869,2021-10-25,,Lego,2,36.25,0.0,16.48,88.98,PayPal,Shipped,5.0,No
9171618,207192,2024-11-25,,Samsung,3,49.57,15.0,24.35,150.75,Card,Processing,4.0,No
3599400,432849,2021-01-05,,Apple,5,409.2,,3.27,2049.27,Card,Processing,1.0,Yes
5640888,132075,2025-03-13,,Penguin,3,90.26,,0.27,271.05,Apple Pay,Delivered,3.0,Yes
8966507,123406,2022-08-19,,Penguin,1,804.26,15.0,3.79,687.41,Card,Returned,4.0,N
8998463,126681,2023-01-04,,Samsung,1,583.07,10.0,5.94,530.7,Apple Pay,Returned,3.0,Y
5487063,781098,2022-06-05,,Adidas,1,624.23,0.0,17.98,642.21,Bank Transfer,Processing,5.0,Y
2290807,667712,2022-10-23,,Samsung,3,937.03,5.0,24.24,2694.78,Card,Shipped,,Y
2503076,109652,2025-12-01,,Sony,1,981.47,15.0,9.63,843.88,PayPal,Delivered,2.0,Yes
7971405,499721,2023-09-01,,Adidas,1,25.43,10.0,19.26,42.15,Card,Processing,4.0,Y
1855502,819830,2024-06-19,,Sony,1,268.11,,11.28,279.39,Card,Delivered,4.0,Yes
4369086,327120,2022-04-12,,Apple,2,604.53,15.0,8.33,1036.03,Google Pay,Cancelled,1.0,No
7218981,542621,2026-05-23,,L'Oreal,3,996.41,20.0,22.72,2414.1,Card,Cancelled,4.0,No
3819254,861111,2022-12-13,,Samsung,5,164.92,20.0,4.26,663.94,PayPal,Shipped,4.0,N
4394865,130451,2026-02-17,,Penguin,4,517.17,5.0,20.66,1985.91,Apple Pay,Cancelled,4.0,No
8355692,653259,2025-02-22,,Zara,3,327.03,,11.53,992.62,PayPal,Delivered,5.0,Yes
4753435,332460,2025-06-01,,Sony,5,386.09,20.0,15.86,1560.22,PayPal,Delivered,,N
3771365,900798,2021-01-29,,Apple,5,325.37,0.0,21.82,1648.67,Card,Cancelled,1.0,No
8407146,559158,2024-07-10,Books,Penguin,3,887.08,15.0,14.84,2276.89,PayPal,Returned,,N
9939353,619896,2025-11-03,Clothing,Adidas,3,514.82,0.0,17.54,1562.0,Apple Pay,Shipped,5.0,
4458653,679715,2025-04-14,Home,Philips,2,655.24,5.0,21.79,1266.75,PayPal,Returned,5.0,
7889269,344406,2026-05-09,Beauty,L'Oreal,1,192.92,10.0,20.01,193.64,PayPal,Returned,2.0,No
5700128,462493,2023-04-22,Home,Philips,3,764.99,5.0,18.96,2199.18,Card,Delivered,,No
5032807,342081,2022-12-16,Toys,Lego,5,626.01,15.0,14.77,2675.31,Google Pay,Processing,5.0,No
7865092,809727,2025-08-31,Toys,Lego,2,544.87,20.0,1.38,873.17,Card,Returned,3.0,N
5242571,329408,2021-08-16,Home,IKEA,2,625.14,,10.86,1261.14,Apple Pay,Processing,3.0,No
3394763,897911,2023-02-14,Home,IKEA,2,415.67,15.0,11.3,717.94,Bank Transfer,Processing,3.0,No
4103775,581929,2022-10-04,Electronics,Apple,4,369.0,10.0,14.02,1342.42,PayPal,Cancelled,2.0,
1302222,403858,2025-09-11,Home,Philips,3,226.67,10.0,0.02,612.03,Card,Cancelled,1.0,Y
8205129,122533,2021-05-23,Clothing,Zara,5,735.25,0.0,14.81,3691.06,Bank Transfer,Returned,,Yes
8016798,536396,2025-03-12,Home,IKEA,1,971.38,5.0,6.67,929.48,Card,Processing,2.0,Yes
3334574,978264,2022-03-04,Clothing,Adidas,2,606.04,0.0,15.03,1227.11,Bank Transfer,Cancelled,,Y
9953993,683484,2024-12-17,Electronics,Apple,3,14.57,,1.95,45.66,Bank Transfer,Shipped,,N
6556096,773494,2025-12-21,Sports,Puma,2,605.79,15.0,19.89,1049.73,PayPal,Processing,2.0,No
4236905,204857,2024-04-08,Home,Philips,2,42.83,15.0,13.76,86.57,PayPal,Shipped,5.0,N
5104535,294936,2021-06-12,Beauty,Nivea,2,543.46,15.0,23.13,947.01,Bank Transfer,Returned,5.0,
8698197,759924,2024-01-16,Grocery,Nestle,5,373.01,20.0,1.07,1493.11,Apple Pay,Shipped,4.0,Yes
7882415,858790,2025-06-05,Beauty,L'Oreal,4,847.49,10.0,11.16,3062.12,Google Pay,Shipped,4.0,
1612458,410787,2024-02-07,Office,HP,1,312.24,0.0,8.17,320.41,Apple Pay,Returned,,No
4919848,226762,2024-01-31,Home,Philips,1,228.8,20.0,7.72,190.76,Card,Processing,3.0,
3716848,879245,2024-05-21,Electronics,Sony,4,50.05,,2.09,202.29,Apple Pay,Processing,1.0,
8008865,448856,2024-09-04,Toys,Lego,5,454.33,10.0,2.21,2046.7,Card,Shipped,4.0,N
2138342,856531,2023-02-16,Books,Penguin,4,370.03,,12.41,1492.53,Card,Delivered,,No
1710337,845738,2022-12-07,Clothing,Nike,2,358.15,10.0,17.38,662.05,Bank Transfer,Cancelled,3.0,N
8078042,625126,2026-03-30,Beauty,Nivea,1,945.47,0.0,7.98,953.45,Card,Shipped,3.0,No
5590610,542611,2021-04-14,Electronics,Samsung,3,504.61,0.0,6.48,1520.31,Card,Delivered,2.0,N
6909036,632380,2026-04-20,Electronics,Samsung,5,106.16,10.0,24.45,502.17,Apple Pay,Delivered,2.0,Y
1696608,970355,2025-09-30,Electronics,Sony,1,262.78,5.0,22.92,272.56,Card,Returned,2.0,Y
2897732,802866,2024-03-19,Electronics,Apple,2,10.9,15.0,19.76,38.29,Card,Processing,,Yes
1201557,299071,2022-02-16,Electronics,Samsung,4,72.56,15.0,7.55,254.25,PayPal,Shipped,4.0,No
8084155,418104,2023-07-25,Sports,Puma,2,963.45,10.0,22.75,1756.96,PayPal,Returned,1.0,N
7992055,397962,2025-10-07,Toys,Lego,2,874.9,0.0,1.89,1751.69,Card,Delivered,5.0,
2768281,716122,2025-10-23,Books,Penguin,1,601.82,,13.32,615.14,Google Pay,Returned,2.0,Y
2813538,623619,2021-05-11,Electronics,Apple,1,792.44,10.0,18.87,732.07,PayPal,Shipped,1.0,No
2380108,987302,2025-07-11,Electronics,Samsung,4,726.99,5.0,5.88,2768.44,Google Pay,Shipped,2.0,Yes
6281418,629828,2025-03-12,Clothing,Nike,4,38.55,0.0,23.48,177.68,PayPal,Delivered,5.0,N
3698122,512461,2021-06-24,Home,IKEA,1,56.24,,17.66,73.9,Google Pay,Processing,5.0,N
6847677,717613,2026-01-06,Home,Philips,5,672.28,5.0,13.81,3207.14,Card,Returned,,Y
5686773,994737,2021-01-21,Sports,Wilson,4,157.64,0.0,3.84,634.4,Bank Transfer,Cancelled,4.0,N
7478350,136202,2025-11-10,Home,Philips,2,70.96,10.0,9.97,137.7,Apple Pay,Cancelled,,N
9053125,603554,2025-11-29,Home,Philips,4,214.19,20.0,7.96,693.37,Card,Returned,4.0,No
2783162,354531,2023-06-02,Sports,Puma,1,121.24,15.0,7.58,110.63,Bank Transfer,Shipped,4.0,Y
3846596,879858,2025-01-19,Home,IKEA,1,441.61,15.0,7.0,382.37,Bank Transfer,Returned,4.0,
4323264,936138,2021-04-28,Electronics,Apple,4,643.9,5.0,23.15,2469.97,Card,Returned,1.0,Y
7029590,523926,2025-06-17,Beauty,L'Oreal,3,981.55,,14.38,2959.03,Card,Returned,4.0,
9394753,534439,2025-04-11,Electronics,Sony,3,527.75,5.0,14.9,1518.99,Bank Transfer,Cancelled,2.0,N
1485322,797034,2023-05-27,Sports,Puma,5,302.42,5.0,9.51,1446.01,Card,Delivered,2.0,Y
7497294,281411,2022-05-17,Beauty,L'Oreal,2,225.89,5.0,10.18,439.37,Card,Processing,,No
5053334,484957,2023-08-04,Electronics,Samsung,3,492.24,10.0,8.82,1337.87,Card,Shipped,,Yes
4934822,675457,2022-11-27,Pet,Purina,2,112.29,5.0,0.25,213.6,Card,Processing,4.0,
8019622,837191,2026-03-02,Clothing,Zara,2,611.84,0.0,9.7,1233.38,Google Pay,Cancelled,4.0,No
4480485,913524,2024-06-02,Electronics,Sony,3,604.0,,8.6,1820.6,Google Pay,Returned,1.0,No
2451308,807249,2024-06-20,Electronics,Samsung,3,556.56,20.0,17.99,1353.73,PayPal,Delivered,4.0,
1900445,874075,2022-02-28,Home,IKEA,3,62.25,20.0,17.2,166.6,PayPal,Returned,4.0,Y
4525512,492904,2021-08-04,Clothing,Nike,5,813.75,0.0,11.25,4080.0,Card,Returned,,Yes
5763793,190667,2021-01-06,Beauty,L'Oreal,3,969.18,20.0,14.75,2340.78,PayPal,Cancelled,5.0,No
3391739,560284,2022-06-17,Beauty,Nivea,5,359.44,,7.42,1804.62,PayPal,Delivered,4.0,Y
6519432,796000,2026-03-01,Sports,Wilson,5,363.22,20.0,23.7,1476.58,Apple Pay,Processing,3.0,
2173636,633123,2021-05-16,Clothing,Zara,3,6.62,0.0,12.18,32.04,Apple Pay,Cancelled,,Y
1430934,213174,2024-06-09,Clothing,Zara,5,133.36,10.0,18.26,618.38,Card,Cancelled,1.0,Y
1081183,916256,2023-06-03,Clothing,Nike,2,249.38,,5.74,504.5,Google Pay,Cancelled,,No
5175400,271650,2024-06-25,Electronics,Sony,2,746.7,0.0,9.33,1502.73,Bank Transfer,Shipped,4.0,No
6977115,646243,2026-06-11,Books,Penguin,3,142.73,0.0,19.61,447.8,Google Pay,Shipped,4.0,N
2145917,980753,2023-02-19,Clothing,Zara,3,436.5,15.0,18.69,1131.77,Bank Transfer,Returned,4.0,N
4157699,512357,2024-09-15,Books,Penguin,3,378.8,,13.74,1150.14,PayPal,Cancelled,4.0,N
6384755,488521,2023-06-08,Home,IKEA,4,776.48,0.0,20.2,3126.12,Card,Cancelled,1.0,Yes
2545529,613480,2022-05-10,Clothing,Adidas,3,955.37,,10.72,2876.83,Apple Pay,Processing,,No
6564807,868360,2025-08-23,Sports,Wilson,5,237.76,20.0,8.28,959.32,Apple Pay,Returned,,Yes
2015377,131011,2021-06-14,Electronics,Apple,5,727.79,,3.84,3642.79,Card,Shipped,,N
9228796,592117,2024-08-19,Clothing,Adidas,1,792.57,20.0,4.48,638.54,Bank Transfer,Cancelled,1.0,
8942999,145599,2022-01-22,Clothing,Nike,4,964.58,10.0,3.07,3475.56,Card,Returned,2.0,Yes
6207067,423516,2026-04-22,Toys,Lego,3,409.1,15.0,9.97,1053.18,Card,Cancelled,3.0,No
1267998,837549,2025-06-09,Clothing,Nike,2,927.4,0.0,11.63,1866.43,Card,Cancelled,,Y
7045105,989508,2022-04-18,Home,Philips,2,963.22,,14.87,1941.31,Card,Processing,3.0,N
3221995,744675,2021-09-12,Toys,Lego,3,314.77,,11.0,955.31,Apple Pay,Returned,2.0,
7116254,721998,2021-12-17,Beauty,L'Oreal,2,266.79,,22.23,,Apple Pay,Returned,2.0,N
2645054,706261,2021-06-25,Clothing,Nike,5,420.18,0.0,2.87,2103.77,Apple Pay,Returned,,
3950359,512719,2022-01-23,Office,HP,1,622.99,5.0,6.38,598.22,Bank Transfer,Processing,3.0,Y
8022490,778592,2025-08-16,Electronics,Samsung,3,153.46,10.0,10.31,424.65,PayPal,Returned,4.0,N
8616444,278624,2021-08-04,Clothing,Zara,2,936.86,10.0,20.13,1706.48,Google Pay,Shipped,3.0,Y
8869536,276783,2023-03-09,Electronics,Apple,3,199.0,15.0,11.63,519.08,Google Pay,Processing,3.0,N
7870422,626635,2022-05-31,Electronics,Samsung,2,450.82,0.0,21.72,923.36,Card,Processing,,Yes
3703737,337961,2021-01-05,Clothing,Nike,3,14.75,20.0,10.32,45.72,PayPal,Delivered,1.0,Yes
4543689,112899,2026-02-12,Home,Philips,5,913.71,15.0,7.08,3890.35,PayPal,Shipped,1.0,N
9709741,907952,2025-05-26,Clothing,Zara,1,544.65,15.0,23.24,486.19,Apple Pay,Delivered,5.0,N
9020728,309208,2023-06-18,Electronics,Apple,5,965.83,0.0,17.77,,Google Pay,Cancelled,5.0,
2475994,665829,2023-12-31,Home,IKEA,5,797.11,20.0,11.27,3199.71,Google Pay,Delivered,5.0,Yes
7111432,674974,2025-11-12,Clothing,Zara,3,869.0,0.0,5.06,2612.06,Card,Delivered,,Y
3693662,343454,2021-01-17,Home,IKEA,3,399.46,20.0,23.25,981.95,PayPal,Cancelled,3.0,Y
1089713,524101,2022-04-15,Electronics,Samsung,1,596.02,,17.44,613.46,Google Pay,Returned,3.0,N
8570334,638728,2024-03-04,Electronics,Samsung,2,402.09,15.0,9.2,692.75,PayPal,Cancelled,4.0,Yes
8128060,460527,2023-04-09,Home,IKEA,3,191.59,20.0,12.7,472.52,Card,Returned,,Yes
7858571,988627,2026-03-09,Clothing,Nike,3,961.89,0.0,12.09,2897.76,PayPal,Cancelled,2.0,No
3290647,705861,2023-03-14,Electronics,Apple,1,112.05,,2.07,114.12,Card,Processing,1.0,N
4244276,470434,2025-03-30,Beauty,Nivea,5,987.95,0.0,16.99,4956.74,Card,Cancelled,5.0,Y
1258603,581434,2021-05-20,Toys,Lego,2,959.63,0.0,17.33,1936.59,Apple Pay,Shipped,4.0,Y
6887455,382359,2024-05-29,Electronics,Apple,1,420.53,10.0,24.54,403.02,Google Pay,Shipped,5.0,Yes
3502197,791236,2022-03-08,Toys,Lego,3,135.21,5.0,4.51,389.86,Google Pay,Processing,3.0,
7332302,674615,2026-01-30,Clothing,Adidas,4,647.56,15.0,15.09,2216.79,PayPal,Cancelled,2.0,
7940599,738524,2023-10-18,Clothing,Nike,2,936.97,10.0,2.37,1688.92,Bank Transfer,Processing,3.0,No
3758206,864831,2025-02-25,Clothing,Zara,1,39.09,15.0,18.18,51.41,Card,Delivered,4.0,No
3828347,105986,2024-12-27,Electronics,Samsung,3,548.08,0.0,9.12,1653.36,Card,Delivered,1.0,No
2792987,502327,2022-11-05,Home,IKEA,5,60.88,5.0,1.37,290.55,PayPal,Cancelled,1.0,
4337278,921722,2025-07-23,Home,IKEA,5,124.6,5.0,2.8,594.65,Card,Delivered,5.0,No
6577608,998576,2022-09-11,Home,IKEA,5,936.07,15.0,6.36,3984.66,Bank Transfer,Shipped,4.0,No
5228959,960341,2024-08-22,Electronics,Apple,3,476.35,0.0,14.19,1443.24,Card,Cancelled,2.0,Y
1313525,876474,2023-05-29,Clothing,Nike,4,965.38,10.0,20.84,3496.21,PayPal,Returned,,Y
4415562,637395,2024-08-12,Electronics,Samsung,3,242.76,10.0,17.45,672.9,Card,Shipped,1.0,
5222062,948444,2023-01-01,Beauty,Nivea,2,752.46,10.0,8.94,1363.37,Card,Delivered,4.0,N
6559101,235527,2026-05-04,Beauty,L'Oreal,1,186.81,10.0,8.34,176.47,Card,Processing,2.0,N
5827379,643873,2021-10-22,Electronics,Samsung,1,302.38,0.0,17.13,319.51,Google Pay,Delivered,5.0,N
8996721,915160,2023-09-14,Clothing,Nike,3,934.94,5.0,21.46,2686.04,Bank Transfer,Processing,4.0,
5857634,688626,2023-04-07,Books,Penguin,4,204.24,10.0,14.58,749.84,Card,Processing,1.0,
3299801,315466,2021-03-31,Electronics,Samsung,1,173.01,20.0,17.58,155.99,PayPal,Delivered,,N
7747129,546788,2024-03-14,Electronics,Samsung,1,252.09,20.0,0.42,202.09,PayPal,Returned,3.0,Y
5222985,158849,2022-11-07,Electronics,Samsung,5,961.33,15.0,13.15,4098.8,Google Pay,Returned,1.0,No
6241752,604471,2021-01-15,Electronics,Samsung,1,300.66,15.0,12.05,267.61,Bank Transfer,Cancelled,,No
4097476,482453,2026-06-19,Sports,Wilson,4,24.14,10.0,13.58,100.48,Card,Shipped,4.0,No
3346124,697687,2026-02-28,Electronics,Samsung,3,471.23,20.0,15.21,1146.16,Card,Shipped,2.0,Y
4686094,681331,2021-10-01,Clothing,Adidas,5,924.39,15.0,12.11,3940.77,Card,Returned,4.0,No
5655660,309546,2025-06-01,Clothing,Adidas,5,670.5,10.0,8.8,3026.05,Bank Transfer,Shipped,4.0,
7994006,629237,2026-03-16,Toys,Lego,3,906.97,15.0,10.05,2322.82,PayPal,Shipped,4.0,Y
1288851,533481,2025-09-01,Sports,Wilson,3,513.58,,16.87,1557.61,Card,Delivered,2.0,Yes
9967376,608480,2026-01-13,Home,IKEA,4,456.23,,24.04,1848.96,Card,Returned,4.0,Yes
2682713,952860,2025-05-11,Electronics,Sony,3,411.07,0.0,20.82,1254.03,Card,Delivered,,No
6285062,474121,2022-12-01,Electronics,Apple,4,58.12,10.0,23.48,232.71,Card,Processing,5.0,N
1588740,534555,2025-04-22,Home,IKEA,4,741.36,,1.26,2966.7,Apple Pay,Cancelled,5.0,
4367559,462889,2024-07-05,Books,Penguin,2,386.89,5.0,22.38,757.47,Bank Transfer,Cancelled,3.0,N
5824083,101661,2023-07-18,Electronics,Sony,1,415.68,5.0,1.23,396.13,Google Pay,Delivered,,N
6785852,664635,2023-05-04,Clothing,Adidas,2,710.16,5.0,15.26,1364.56,Bank Transfer,Cancelled,3.0,N
5675714,666345,2025-03-12,Electronics,Apple,3,56.55,20.0,13.16,148.88,Apple Pay,Cancelled,2.0,No
4265297,753776,2022-05-27,Electronics,Samsung,1,999.12,15.0,16.79,866.04,PayPal,Cancelled,3.0,No
1445754,924646,2022-03-28,Office,HP,4,215.79,10.0,19.3,796.14,Bank Transfer,Cancelled,3.0,Yes
8576311,742202,2022-04-12,Grocery,Nestle,4,335.8,10.0,1.03,1209.91,Bank Transfer,Processing,5.0,Yes
3553609,447222,2024-12-25,Grocery,Nestle,1,338.13,20.0,11.35,281.85,Apple Pay,Cancelled,1.0,Y
9839769,580401,2023-12-28,Home,Philips,3,490.47,5.0,10.66,1408.5,Google Pay,Shipped,3.0,Yes
1145671,728993,2022-03-18,Home,Philips,4,92.02,20.0,5.44,299.9,PayPal,Shipped,5.0,
1205768,129333,2023-05-04,Sports,Wilson,1,115.41,15.0,17.69,115.79,Apple Pay,Returned,,
7812367,943652,2024-05-13,Home,Philips,3,726.28,0.0,15.35,2194.19,Bank Transfer,Delivered,5.0,N
7710925,340758,2024-01-27,Home,IKEA,1,40.51,5.0,4.81,43.29,Apple Pay,Delivered,2.0,
7568783,766234,2023-01-26,Clothing,Zara,1,687.89,10.0,18.06,637.16,Google Pay,Processing,5.0,
6898246,285819,2021-03-09,Office,HP,3,837.89,,12.55,2526.22,Card,Returned,1.0,No
5702307,677509,2024-03-16,Electronics,Apple,5,647.23,15.0,8.35,2759.08,Google Pay,Delivered,1.0,N
6768279,712851,2021-05-08,Electronics,Samsung,4,571.02,10.0,23.28,,PayPal,Cancelled,4.0,
2776029,289565,2022-11-04,Clothing,Nike,2,72.44,15.0,22.68,145.83,PayPal,Returned,4.0,Y
6063492,196051,2022-07-24,Clothing,Nike,5,131.77,15.0,3.53,563.55,Card,Cancelled,,Y
8576787,937223,2023-07-01,Home,Philips,4,917.34,10.0,5.28,3307.7,Card,Returned,1.0,N
1955187,677795,2021-12-11,Clothing,Nike,3,318.68,15.0,7.15,819.78,Bank Transfer,Cancelled,4.0,No
6503468,935817,2021-06-21,Clothing,Adidas,1,549.2,,18.63,567.83,Card,Delivered,5.0,Y
4742348,992625,2025-01-22,Clothing,Nike,2,110.96,10.0,7.42,207.15,Card,Processing,3.0,No
3379867,956096,2024-07-25,Grocery,Nestle,3,877.31,10.0,10.95,2379.69,Bank Transfer,Cancelled,3.0,Y
6696027,367695,2022-03-26,Grocery,Nestle,2,565.38,0.0,12.05,1142.81,Apple Pay,Processing,5.0,
5369894,134035,2023-06-09,Books,Penguin,2,23.05,15.0,4.12,43.3,Bank Transfer,Processing,2.0,
8415829,982633,2023-09-10,Home,Philips,1,745.63,0.0,7.27,752.9,Apple Pay,Returned,,
7130899,805810,2023-04-06,Home,IKEA,3,758.24,10.0,8.62,2055.87,Bank Transfer,Delivered,3.0,
4067717,173875,2025-07-16,Home,IKEA,2,845.55,20.0,24.58,1377.46,Card,Delivered,2.0,No
7461203,187277,2025-11-13,Toys,Lego,5,564.73,5.0,14.02,2696.49,Apple Pay,Delivered,3.0,
6536825,117501,2022-07-07,Clothing,Adidas,5,598.2,20.0,11.58,2404.38,Card,Delivered,4.0,N
9871215,575003,2023-06-07,Pet,Purina,5,330.79,10.0,16.09,1504.64,PayPal,Delivered,5.0,Y
5985675,115267,2023-03-29,Clothing,Zara,1,120.91,20.0,18.3,115.03,Card,Delivered,4.0,Y
5756840,890778,2025-05-20,Clothing,Adidas,2,888.32,0.0,24.65,1801.29,Google Pay,Delivered,2.0,N
7669616,892290,2021-11-19,Home,Philips,3,908.75,15.0,0.7,2318.01,PayPal,Processing,,Yes
3600900,394856,2021-06-13,Clothing,Zara,4,225.49,,19.27,921.23,Card,Returned,5.0,Yes
6313759,361681,2022-05-18,Electronics,Samsung,4,192.01,15.0,13.43,666.26,Apple Pay,Processing,2.0,No
6295518,381691,2024-03-23,Home,Philips,3,479.18,,11.76,1449.3,PayPal,Delivered,,
7950397,214807,2022-08-02,Home,IKEA,2,592.38,20.0,24.02,971.83,PayPal,Shipped,2.0,Y
4350940,936016,2021-12-24,Electronics,Sony,1,101.45,15.0,6.05,92.28,Apple Pay,Returned,3.0,
6442488,755152,2026-01-06,Grocery,Nestle,5,161.44,0.0,18.1,825.3,Card,Delivered,2.0,N
8198299,293577,2024-02-10,Clothing,Adidas,3,663.19,15.0,9.1,1700.23,Apple Pay,Processing,3.0,N
6110263,461153,2023-02-01,Electronics,Sony,4,819.93,5.0,0.79,3116.52,Apple Pay,Processing,,No
3832954,404385,2025-09-25,Home,Philips,5,952.86,0.0,3.0,4767.3,Google Pay,Processing,2.0,No
5869873,172892,2022-01-17,Office,HP,2,307.82,10.0,21.14,575.22,Apple Pay,Shipped,3.0,Y
3723114,275605,2023-11-02,Sports,Wilson,1,10.95,0.0,18.43,29.38,Apple Pay,Returned,1.0,Yes
8934224,267379,2022-07-23,Home,Philips,2,840.44,15.0,2.27,1431.02,Bank Transfer,Cancelled,4.0,N
2864882,367613,2021-02-19,Electronics,Sony,3,142.41,,12.79,440.02,PayPal,Returned,2.0,N
5057654,652998,2025-04-13,Beauty,Nivea,5,343.32,15.0,22.95,1482.06,Google Pay,Delivered,1.0,N
3626460,276312,2022-07-22,Books,Penguin,2,76.96,0.0,7.31,161.23,Apple Pay,Cancelled,4.0,Y
4003162,788554,2025-10-19,Sports,Wilson,2,223.14,15.0,6.7,386.04,Apple Pay,Delivered,4.0,N
5614133,386171,2024-02-23,Clothing,Nike,4,572.51,5.0,18.9,2194.44,Bank Transfer,Delivered,5.0,N
7020787,779689,2021-07-07,Electronics,Sony,4,607.7,0.0,24.0,2454.8,Bank Transfer,Returned,5.0,No
3663349,846156,2022-09-10,Clothing,Nike,4,152.71,15.0,10.45,529.66,Card,Returned,4.0,N
5718902,408798,2022-12-17,Beauty,Nivea,1,827.44,0.0,3.03,830.47,Google Pay,Cancelled,5.0,N
9336074,576789,2025-10-26,Electronics,Sony,5,633.47,5.0,9.02,3018.0,PayPal,Cancelled,1.0,No
2000649,836756,2024-09-01,Clothing,Zara,5,713.78,10.0,11.86,3223.87,Apple Pay,Cancelled,,No
4477172,437643,2023-01-07,Electronics,Sony,1,677.93,20.0,2.37,544.71,PayPal,Processing,2.0,Y
7399493,620611,2026-01-11,Pet,Purina,4,507.04,10.0,9.73,1835.07,Apple Pay,Cancelled,2.0,Y
3011817,596784,2024-07-03,Books,Penguin,2,216.39,5.0,14.13,425.27,Card,Processing,5.0,Yes
6111172,219737,2026-06-08,Office,HP,2,911.7,0.0,4.15,1827.55,Card,Cancelled,,N
2810173,124782,2022-12-14,Home,IKEA,1,222.94,20.0,13.6,191.95,Card,Returned,,
6959671,427160,2021-03-12,Electronics,Sony,2,535.33,5.0,13.72,1030.85,Card,Returned,,
5608664,505334,2023-11-03,Beauty,Nivea,2,798.5,,11.17,1608.17,PayPal,Shipped,3.0,
1458875,460020,2022-05-21,Clothing,Nike,5,641.48,15.0,5.91,2732.2,Card,Processing,2.0,Y
9680621,541365,2026-03-17,Clothing,Adidas,1,445.56,,7.94,453.5,PayPal,Returned,1.0,No
8331549,934879,2021-09-14,Home,IKEA,2,509.97,20.0,10.02,825.97,Apple Pay,Shipped,4.0,No
9229168,297173,2022-03-14,Electronics,Samsung,3,55.26,5.0,15.14,172.63,Google Pay,Shipped,3.0,N
9723939,370973,2026-01-03,Office,HP,3,373.87,20.0,12.48,909.77,PayPal,Processing,1.0,Yes
